,title,subtitles,link
57,RUTHLESS ONE,Mourinho reveals he'll SACK Roma flop for ‘poor attitude’ after Sassuolo draw,https://www.thesun.co.uk/sport/20380729/jose-mourinho-roma-blast-sassuolo-rick-karsdorp/
58,'ARD TARGET,Pique reveals crazy plan to change how football's played in bid to attract kids,https://www.thesun.co.uk/sport/20386122/barcelona-gerard-pique-shorter-matches-florentino-perez/
59,CLEAR PICTURE,Price ranges and provisional teams explained for Dream Team World Cup,https://www.thesun.co.uk/sport/football/dream-team/20304005/world-cup-fantasy-football-price-ranges-provisional-teams/
60,MEGA OFFER,World Cup 2022: Get up to £100 in free bets and bonuses with Spreadex,https://www.thesun.co.uk/sport/betting-tips/20289291/spreadex-world-cup-free-bets-bonus-100-offer/
61,MONEY BACK,How to get up to £50 back as CASH if any of your first five football bets lose!,https://www.thesun.co.uk/sport/betting-tips/20003921/get-50-cash-back-football-bets-paddy-power/
62,LICENCE TO KYL,How Liverpool could line up after takeover with three new star transfers,https://www.thesun.co.uk/sport/20356291/liverpool-takeover-kylian-mbappe-jude-bellingham-fede-valverde-transfer/
63,WE WANT CHU,Arsenal eye January transfer swoop for Villarreal's flying winger Chukwueze,https://www.thesun.co.uk/sport/20381321/arsenal-chukwueze-transfer-villarreal/
64,REAL SETBACK,Man Utd and Chelsea suffer blows in Osimhen and Leao transfer pursuits,https://www.thesun.co.uk/sport/20380970/man-utd-chelsea-osimhen-leao-transfer-real-madrid/
65,MADE HIS MARC,Tottenham consider re-signing Marcus Edwards after savvy clause in transfer,https://www.thesun.co.uk/sport/20369621/tottenham-consider-buying-marcus-edwards-back/
66,ENZ RE-UNITED,Man Utd 'crazy' about Enzo Fernandez & 'desperate to land Benfica midfielder',https://www.thesun.co.uk/sport/20374033/man-utd-transfer-enzo-fernandez-benfica/
67,VICTOR-Y MARCH,Man Utd join growing Osimhen fanclub as they compile list of striker targets,https://www.thesun.co.uk/sport/20374730/man-utd-victor-osimhen-transfer-napoli-shortlist/
68,UNITED NEWS,"Ronaldo 'expected' to leave for Sporting in January, £130m Bellingham price tag",https://www.thesun.co.uk/sport/20358231/man-utd-news-live-ronaldo-sporting-victor-osimhen-carabao-cup/
69,GUNNERS LIVE,"Gunners OUT of Carabao Cup, Xhaka makes Switzerland World Cup squad",https://www.thesun.co.uk/sport/20331408/arsenal-news-live-brighton-loss-xhaka-world-cup-squad/
70,TIM VICKERY,Brazil now pin their hopes on stars playing in cosmopolitan Premier League,https://www.thesun.co.uk/sport/20358924/premier-league-brazil-world-cup-squad/
71,HARRY REDKNAPP,Maddison is one of my favourites.. in ANY other country he’d go to World Cup,https://www.thesun.co.uk/sport/20336707/harry-redknapp-james-maddison-favourite-world-cup/
72,TROY DEENEY,Injuries are part of the game - Prem players can't go easy before the World Cup,https://www.thesun.co.uk/sport/20329779/troy-deeney-premier-league-players-injuries/
73,TRAGIC WAND,Wanda breaks down in tears on live TV as she opens up on split from Icardi,https://www.thesun.co.uk/sport/20369537/mauuro-icardi-wanda-nara-tv/
74,SHE'S A KEEPER,Liverpool flop Karius seen with sexy Italian TV star partner for first time,https://www.thesun.co.uk/sport/20364309/liverpool-flop-loris-karius-pictured-with-diletta-leotta/
75,TOP GUN,Gundogan and model wife announce they're having a baby as couple cradle her bump,https://www.thesun.co.uk/sport/20362793/man-city-ilkay-gundogan-wife-baby/
76,'MARRIED AT LAST',"Brazil and Inter legend Adriano, 40, marries stunning hairdresser, 25",https://www.thesun.co.uk/sport/20380967/brazil-inter-milan-adriano-marries-romance/
77,'WHAT A MESS',Ex-Newcastle ace slammed for 'awful' running of 'worst team in England',https://www.thesun.co.uk/sport/20362303/ex-newcastle-ace-bernard-slammed/
78,'STILL HAS THE MOVES',Ex-Liverpool star unrecognisable on version of Strictly Come Dancing,https://www.thesun.co.uk/sport/20351456/liverpool-unrecognisable-strictly-come-dancing-ragnar-klavan/
79,IN THE CLEAR,Joey Barton's assault trial dismissed after he's accused of 'kicking wife’,https://www.thesun.co.uk/sport/20273702/joey-barton-assault-trial-kicked-wife/
80,DONE DEAL,Shakira & Pique speak out after custody talks over sons' new life in Miami,https://www.thesun.co.uk/sport/20357121/shakira-pique-custody-deal-move-sons-miami/
